Disease,Plant,Causal_Organism,Organic_Treatment_1,Organic_Treatment_2,Organic_Treatment_3,Organic_Treatment_4,Chemical_Treatment_1,Chemical_Treatment_2,Chemical_Treatment_3,Chemical_Treatment_4,Source
Fruit piercing moth,Citrus / Mango / Grape,Othreis fullonia / Eudocima materna (Noctuidae),Neem oil 5ml/L spray,Light traps 2/ha,Net bags over fruit clusters,Collect and destroy damaged fruits,"Carbaryl, Malathion, Pyrethroids",Malathion 50EC @ 2ml/L,Pyrethroids (Cypermethrin) @ 1ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR Citrus IPM
Gall fly,Multiple crops / Cereals,Various Cecidomyiidae / Tephritidae,Neem oil 5ml/L spray,NSKE 5% spray,Prune and destroy galled parts,Light traps 2/ha,"Chlorpyrifos, Malathion, Methomyl",Chlorpyrifos 20EC @ 2ml/L,Malathion 50EC @ 2ml/L,Methomyl 40SP @ 1g/L,TNAU/ICAR
Gall Midge,Mango,Eryophyes mangiferae,Neem oil 5ml/L spray,Yellow sticky traps (ICAR recommendation),Prune and burn gall-infested shoots,Neem seed kernel extract 5% (NSKE),Dimethoate 30EC @ 2ml/L (TNAU crop list),Imidacloprid 17.8SL @ 0.5ml/L,Carbaryl 50WP @ 2g/L,Quinalphos 25EC @ 2ml/L (TNAU),TNAU Crop Pesticide List PDF
grain spreader thrips,Wheat / Rice / Cereals,Stenothrips graminum (Thripidae),Neem oil 5ml/L spray,NSKE 5% spray,Blue sticky traps 10/ha,Reflective mulch,"Acephate, Imidacloprid, Thiamethoxam",Thiamethoxam 25WG @ 0.3g/L,Imidacloprid 17.8SL @ 0.5ml/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR
grasshopper,Multiple crops,Melanoplus spp. / Schistocerca gregaria (Acrididae),Neem oil 5ml/L spray,NSKE 5% spray,Light traps,Deep ploughing to destroy egg pods,"Carbaryl, Malathion, Pyrethroids",Malathion 50EC @ 2ml/L,Pyrethroids (Cypermethrin) @ 1ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
green bug,Wheat / Sorghum / Cereals,Schizaphis graminum (Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray,"Carbaryl, Malathion, Pyrethroids",Malathion 50EC @ 2ml/L,Pyrethroids (Cypermethrin) @ 1ml/L,Dimethoate 30EC @ 2ml/L,TNAU/ICAR
grub,Sugarcane / Groundnut / Multiple,Holotrichia spp. / Leucopholis spp. (Scarabaeidae white grub),Neem cake 250kg/ha soil application,Entomopathogenic nematodes (Steinernema) 1 billion/ha,Deep summer ploughing,Light traps for adult beetles,"Chlorpyrifos, Imidacloprid, Thiamethoxam",Chlorpyrifos 20EC @ 5L/ha soil drench,Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG seed treatment @ 3g/kg,TNAU/ICAR
Haunglongbing / Citrus Greening,Orange,Candidatus Liberibacter asiaticus (vector: Diaphorina citri psyllid),Neem oil 5ml/L to control psyllid vector,Mineral oil spray for psyllid,Remove infected trees (no cure exists),Reflective mulch to repel psyllid,Imidacloprid 17.8SL @ 0.5ml/L for psyllid control (TNAU),Thiamethoxam 25WG @ 0.3g/L,Dimethoate 30EC @ 2ml/L (TNAU crop list),Chlorpyrifos 20EC @ 2ml/L,TNAU Crop Pesticide List / ICAR
Hispa,Rice,Dicladispa armigera,Neem oil 5ml/L spray (TNAU Organic Farm),Clip and destroy affected leaf tips,Light traps for adult management (ICAR),NSKE 5% spray,Chlorpyrifos 20EC @ 2ml/L (TNAU crop list),Quinalphos 25EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Dimethoate 30EC @ 2ml/L,TNAU Org Farm Pesticide Management
Icerya purchasi Maskell,Citrus / Acacia / Multiple,Icerya purchasi (Cottony cushion scale - Margarodidae),Neem oil 5ml/L spray,Soap water spray 10g/L,Release Rodolia cardinalis predator,NSKE 5% spray,"Imidacloprid, Dinotefuran, Acetamiprid",Imidacloprid 17.8SL @ 0.5ml/L,Dinotefuran 20SG @ 0.3g/L,Acetamiprid 20SP @ 0.5g/L,TNAU/ICAR
Indigo caterpillar,Indigo / Legumes,Spodoptera litura / Catopsilia spp. (Lepidoptera),BT spray 1kg/ha,NPV spray 250LE/ha,Hand picking of egg masses,Neem oil 5ml/L,"Carbaryl, Imidacloprid, Acephate",Carbaryl 50WP @ 2g/L,Imidacloprid 17.8SL @ 0.5ml/L,Acephate 75SP @ 1g/L,TNAU/ICAR
Jute aphid,Jute,Aphis gossypii (Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray,"Thiamethoxam, Imidacloprid, Clothianidin",Imidacloprid 17.8SL @ 0.5ml/L,Clothianidin 50WDG @ 0.3g/L,Dimethoate 30EC @ 2ml/L,ICAR-CRIJAF Jute IPM
Jute hairy,Jute,Spilosoma obliqua (Arctiidae - hairy caterpillar),BT spray 1kg/ha,Light traps 2/ha,Hand picking of egg masses and larvae,Neem oil 5ml/L,"Imidacloprid, Chlorpyrifos, Lambda-cyhalothrin",Chlorpyrifos 20EC @ 2ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,Carbaryl 50WP @ 2g/L,ICAR-CRIJAF Jute IPM
Jute red mite,Jute,Tetranychus urticae / T. cinnabarinus (Tetranychidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites,"Bifenthrin, Spiromesifen, Fenpropathrin",Spiromesifen 22.9SC @ 0.5ml/L,Fenpropathrin 30EC @ 1ml/L,Bifenthrin 10EC @ 1ml/L,ICAR-CRIJAF Jute IPM
Jute semilooper,Jute,Anomis sabulifera (Noctuidae),BT spray 1kg/ha,Light traps 2/ha,Hand picking,Neem oil 5ml/L,"Chlorpyrifos, Emamectin benzoate, Indoxacarb",Emamectin benzoate 5SG @ 0.4g/L,Indoxacarb 14.5SC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,ICAR-CRIJAF Jute IPM
Jute stem girdler,Jute,Nupserha bicolor (Cerambycidae),Neem oil 5ml/L spray,Remove and burn girdled stems,NSKE 5% spray,Light traps 2/ha,"Chlorpyrifos, Carbofuran, Phorate",Carbofuran 3G @ 33kg/ha soil,Chlorpyrifos 20EC @ 2ml/L,Phorate 10G @ 10kg/ha soil,ICAR-CRIJAF Jute IPM
Jute Stem Weevil,Jute,Apion corchori (Curculionidae),Neem oil 5ml/L spray,NSKE 5% spray,Deep ploughing after harvest,Remove and destroy infested stems,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin",Carbaryl 50WP @ 2g/L,Chlorpyrifos 20EC @ 2ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,ICAR-CRIJAF Jute IPM
Jute stick insect,Jute,Carausius morosus / Lonchodes spp. (Phasmatidae),Hand picking of insects,Neem oil 5ml/L spray,Light traps 2/ha,Remove and destroy egg masses,"Imidacloprid, Thiamethoxam, Chlorpyrifos",Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,ICAR-CRIJAF Jute IPM
large cutworm,Vegetables / Maize,Agrotis tokionis / A. segetum (Noctuidae),BT soil drench 1kg/ha,Neem cake 250kg/ha soil application,Light traps 2/ha,Deep summer ploughing,"Bacillus thuringiensis, Chlorpyrifos, Lambda-cyhalothrin",Chlorpyrifos 20EC @ 3ml/L soil drench,Lambda-cyhalothrin 5EC @ 1ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
Late Blight,Tomato,Phytophthora infestans,Copper Bordeaux mixture 1%,Pseudomonas fluorescens + Trichoderma (ICAR-NCIPM 2023),Neem oil 5ml/L spray,Copper sulfate 2.62SC @ 1L/500L (TNAU Fungicide PDF),Metalaxyl + Mancozeb 72WP @ 2.5g/L (TNAU Fungicide PDF),Chlorothalonil 75WP @ 2g/L,Azoxystrobin 23SC @ 500ml/ha (TNAU Fungicide PDF),Cymoxanil + Mancozeb 72WP @ 2.5g/L,TNAU Fungicide PDF / ICAR-NCIPM 2023
Late Blight,Potato,Phytophthora infestans,Copper Bordeaux mixture 1%,Neem oil 5ml/L spray,Remove and destroy infected plants,Avoid overhead irrigation,Metalaxyl + Mancozeb 72WP @ 2.5g/L (Ridomil Gold - TNAU),Cymoxanil + Mancozeb 72WP @ 2.5g/L,Chlorothalonil 75WP @ 0.875g/L (TNAU Fungicide PDF),Dimethomorph 50WP @ 1g/L,TNAU Fungicide Registration PDF
Lawana imitata Melichar,Sugarcane / Grasses,Lawana imitata (Flatid planthopper),Neem oil 5ml/L spray,NSKE 5% spray,Remove weed hosts,Yellow sticky traps 10/ha,"Imidacloprid, Buprofezin, Thiamethoxam",Buprofezin 25SC @ 1ml/L,Thiamethoxam 25WG @ 0.3g/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
Leaf beetle,Vegetables / Potato / Crucifers,Chrysomelidae spp. (various leaf beetles),Neem oil 5ml/L spray,NSKE 5% spray,Hand picking of adults,Neem cake soil application 250kg/ha,"Chlorpyrifos, Imidacloprid, Acephate",Chlorpyrifos 20EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Acephate 75SP @ 1g/L,TNAU/ICAR
Leaf Blight / Isariopsis Leaf Spot,Grape,Isariopsis clavispora / Pseudocercospora vitis,Bordeaux mixture 1%,Neem oil 5ml/L spray,Remove infected leaves; improve air circulation,Copper paste on pruning wounds,Mancozeb 75WP @ 2.5g/L,Carbendazim 50WP @ 300g/ha (TNAU Fungicide PDF: Grape Anthracnose same fungicide),Copper oxychloride 50WP @ 3g/L,Tebuconazole 25EC @ 1ml/L,TNAU Fungicide PDF
Leaf Mold,Tomato,Passalora fulva (Cladosporium fulvum),Neem oil 5ml/L spray,Reduce humidity; improve ventilation,Baking soda 5g/L + soap spray,Trichoderma viride soil drench,Chlorothalonil 75WP @ 2g/L (TNAU),Mancozeb 75WP @ 2.5g/L,Carbendazim 50WP @ 1g/L,Iprodione 50WP @ 1.5g/L,TNAU/ICAR
Leaf Scorch,Strawberry,Diplocarpon earlianum,Neem oil 5ml/L spray,Bordeaux mixture 1%,Remove and destroy infected leaves,Drip irrigation to avoid leaf wetness,Captan 50WP @ 2.5g/L (TNAU Cherry Brown rot same fungicide),Myclobutanil 10WP @ 1g/L,Copper oxychloride 50WP @ 3g/L,Mancozeb 75WP @ 2.5g/L,TNAU Fungicide PDF
LeafBlast,Rice,Pyricularia oryzae (Magnaporthe oryzae),Silicon fertilizer application (ICAR),Pseudomonas fluorescens seed treatment @ 10g/kg (TNAU NBAIM),Trichoderma viride seed treatment,Neem oil 5ml/L spray,Isoprothiolane 40EC @ 750ml/ha (TNAU Fungicide PDF),Azoxystrobin 23SC + Difenoconazole (Amistar Top) — best field combo (PMC 2021),Carbendazim 50WP @ 250-500g/ha (TNAU Fungicide PDF),Fluopyram + Tebuconazole (Nativo) systemic combo (Sci Reports 2020),TNAU Fungicide PDF / PMC 2021 / Sci Reports 2020
legume blister beetle,Legumes / Vegetables,Mylabris pustulata / M. cichorii (Meloidae),Hand picking of adults (wear gloves — cantharidin toxic),Neem oil 5ml/L spray,Light traps 2/ha,NSKE 5% spray,"Carbaryl, Chlorpyrifos, Lambda-cyhalothrin",Carbaryl 50WP @ 2g/L,Chlorpyrifos 20EC @ 2ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,TNAU/ICAR
Limacodidae,Tea / Cocoa / Multiple,Parasa lepida / Thosea spp. (Limacodidae - slug caterpillar),BT spray 1kg/ha,Hand picking (wear gloves — spines irritating),Light traps 2/ha,Neem oil 5ml/L spray,"Bacillus thuringiensis, Chlorpyrifos, Carbaryl",Chlorpyrifos 20EC @ 2ml/L,Carbaryl 50WP @ 2g/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR
Locust,Multiple crops - all field crops,Locusta migratoria / Schistocerca gregaria (Acrididae),Neem oil 5ml/L spray (early instar),NSKE 5% spray,Beauveria bassiana 1WP @ 3kg/ha spray,Metarhizium anisopliae biopesticide spray,"Chlorpyrifos, Deltamethrin, Fenitrothion",Chlorpyrifos 20EC @ 2ml/L,Deltamethrin 2.8EC @ 1ml/L,Fenitrothion 50EC @ 2ml/L,FAO Locust Management / ICAR
Locustoidea,Multiple crops,Locustoidea superfamily (Grasshoppers / Locusts),Neem oil 5ml/L spray,Metarhizium anisopliae biopesticide,Light traps,Deep ploughing,"Chlorpyrifos, Deltamethrin, Fenitrothion",Chlorpyrifos 20EC @ 2ml/L,Deltamethrin 2.8EC @ 1ml/L,Fenitrothion 50EC @ 2ml/L,TNAU/ICAR
longlegged spider mite,Multiple crops,Tetranychus ludeni (Tetranychidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites (Phytoseiulus),"Abamectin, Bifenazate, Chlorfenapyr",Bifenazate 43SC @ 1ml/L,Chlorfenapyr 10SC @ 1ml/L,Abamectin 1.8EC @ 0.5ml/L,TNAU/ICAR
Lycorma delicatula,Grape / Apple / Hops,Lycorma delicatula (Spotted lanternfly - Fulgoridae),Neem oil 5ml/L spray,Sticky band traps on tree trunks,Destroy egg masses with scraper,Kaolin clay spray,"Dinotefuran, Imidacloprid, Thiamethoxam",Dinotefuran 20SG @ 0.3g/L,Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,USDA/ICAR
lytta polita,Vegetables / Legumes,Lytta polita (Blister beetle - Meloidae),Hand picking of adults (wear gloves),Neem oil 5ml/L spray,Light traps 2/ha,NSKE 5% spray,"Carbaryl, Diazinon, Malathion",Carbaryl 50WP @ 2g/L,Diazinon 50EC @ 2ml/L,Malathion 50EC @ 2ml/L,TNAU/ICAR
Mango flat beak leafhopper,Mango,Idioscopus clypealis / I. nitidulus (Cicadellidae),Neem oil 5ml/L spray,NSKE 5% spray,Smoke-fumigation during hopper emergence,Remove off-season flowers,"Imidacloprid, Thiamethoxam, Dinotefuran",Thiamethoxam 25WG @ 0.3g/L,Dinotefuran 20SG @ 0.3g/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR Mango IPM
meadow moth,Vegetables / Alfalfa / Cereals,Loxostege sticticalis (Crambidae),BT spray 1kg/ha,Light traps 2/ha,Pheromone traps 10/ha,Neem oil 5ml/L spray,"Bacillus thuringiensis, Chlorpyrifos, Lambda-cyhalothrin",Chlorpyrifos 20EC @ 2ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR
Mealybug,Cotton / Grapes / Papaya / Multiple,Phenacoccus solenopsis / Maconellicoccus hirsutus (Pseudococcidae),Neem oil 5ml/L spray,Soap water spray 10g/L,Release Cryptolaemus predator,Beauveria bassiana 1WP @ 3kg/ha,"Imidacloprid, Clothianidin, Thiamethoxam",Clothianidin 50WDG @ 0.3g/L,Thiamethoxam 25WG @ 0.3g/L,Buprofezin 25SC @ 1ml/L,TNAU/ICAR-CICR Cotton IPM
Miridae,Cotton / Tea / Multiple,Miridae family (Plant bugs - general),Neem oil 5ml/L spray,NSKE 5% spray,Remove weed hosts,Yellow sticky traps 10/ha,"Buprofezin, Clothianidin, Imidacloprid",Buprofezin 25SC @ 1ml/L,Clothianidin 50WDG @ 0.3g/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
mites,Multiple crops,Tetranychus spp. / Panonychus spp. (Tetranychidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release Phytoseiulus predatory mites,"Abamectin, Bifenazate, Chlorfenapyr",Bifenazate 43SC @ 1ml/L,Chlorfenapyr 10SC @ 1ml/L,Abamectin 1.8EC @ 0.5ml/L,TNAU/ICAR
mole cricket,Vegetables / Groundnut / Turf,Gryllotalpa spp. (Gryllotalpidae),Entomopathogenic nematodes soil drench,Deep ploughing in summer,Flood irrigation to bring to surface,Neem cake 250kg/ha soil,"Bifenthrin, Carbaryl, Imidacloprid",Bifenthrin 10EC soil drench,Carbaryl 50WP @ 2g/L soil drench,Imidacloprid 17.8SL soil drench @ 0.5ml/L,TNAU/ICAR
Mosaic,Sugarcane,Sugarcane Mosaic Virus (SCMV — aphid-transmitted),Use virus-free certified setts,Rogue out and burn infected plants,Neem oil 5ml/L to control aphid vector,Mineral oil spray for aphid vector control,Imidacloprid 17.8SL @ 0.5ml/L for aphid vector (TNAU),Thiamethoxam 25WG @ 0.3g/L for aphid control,Dimethoate 30EC @ 2ml/L for aphids,No direct antiviral chemical — vector control only,TNAU Expert System Sugarcane / ICAR
Mosaic Disease,Pumpkin,Cucumber Mosaic Virus / Watermelon Mosaic Virus (whitefly/aphid transmitted),Use virus-free certified seeds,Neem oil 5ml/L for whitefly/aphid vector control (ICAR-IIHR: fipronil+alpha-cyhalothrin+acetamiprid),Reflective silver mulch to repel vectors,Rogue infected plants early,Imidacloprid 17.8SL @ 0.5ml/L for whitefly (TNAU),Thiamethoxam 25WG @ 0.3g/L,Acetamiprid 20SP @ 0.5g/L,No direct antiviral chemical — vector control only,ICAR-IIHR / TNAU
Nipaecoccus vastalor,Citrus / Mango / Cashew,Nipaecoccus vastalor (Mealybug - Pseudococcidae),Neem oil 5ml/L spray,Soap water spray 10g/L,Release Cryptolaemus predator,NSKE 5% spray,"Acetamiprid, Imidacloprid, Dinotefuran",Acetamiprid 20SP @ 0.5g/L,Imidacloprid 17.8SL @ 0.5ml/L,Dinotefuran 20SG @ 0.3g/L,TNAU/ICAR
Northern Leaf Blight,Corn (maize),Setosphaeria turcica (Exserohilum turcicum),Neem oil 5ml/L spray,Trichoderma viride soil drench,Crop rotation with non-host crops,Remove and compost crop debris,Propiconazole 25EC @ 1ml/L,Azoxystrobin 23SC @ 500ml/ha (TNAU),Mancozeb 75WP @ 2.5g/L,Tebuconazole 25EC @ 1ml/L,TNAU Fungicide PDF / ICAR
odontothrips loti,Alfalfa / Legumes,Odontothrips loti (Thripidae),Neem oil 5ml/L spray,Blue sticky traps 10/ha,NSKE 5% spray,Reflective mulch,"Abamectin, Emamectin benzoate, Spinosad",Abamectin 1.8EC @ 0.5ml/L,Emamectin benzoate 5SG @ 0.4g/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR
oides decempunctata,Grape / Vegetables,Oides decempunctata (Chrysomelidae - leaf beetle),Neem oil 5ml/L spray,NSKE 5% spray,Hand picking of adults,Light traps 2/ha,"Abamectin, Chlorfenapyr, Pyridaben",Abamectin 1.8EC @ 0.5ml/L,Chlorfenapyr 10SC @ 1ml/L,Pyridaben 20WP @ 1g/L,TNAU/ICAR
paddy stem maggot,Rice,Atherigona oryzae (Muscidae),Neem oil 5ml/L spray,NSKE 5% spray,Yellow sticky traps 10/ha,Proper water management,"Carbofuran, Chlorpyrifos, Diazinon",Carbofuran 3G @ 33kg/ha soil,Chlorpyrifos 20EC @ 2ml/L,Diazinon 50EC @ 2ml/L,TNAU/ICAR Rice IPM
Panonchus citri McGregor,Citrus,Panonychus citri (Citrus red mite - Tetranychidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites,"Bifenazate, Spirodiclofen, Pyridaben",Spirodiclofen 24SC @ 0.5ml/L,Pyridaben 20WP @ 1g/L,Bifenazate 43SC @ 1ml/L,TNAU/ICAR Citrus IPM
Papilio xuthus,Citrus,Papilio xuthus (Citrus swallowtail - Papilionidae),BT spray 1kg/ha,Hand picking of larvae and egg masses,Neem oil 5ml/L spray,Release egg parasitoid Trichogramma,"Bacillus thuringiensis, Spinosad, Methomyl",Spinosad 45SC @ 0.5ml/L,Methomyl 40SP @ 1g/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
parathrene regalis,Mulberry / Silk crops,Parathrene regalis (Sesiidae - clearwing moth),BT spray 1kg/ha,Neem oil 5ml/L spray,Prune and destroy bored branches,Light traps 2/ha,"Bacillus thuringiensis, Chlorpyrifos, Imidacloprid",Chlorpyrifos 20EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
Parlatoria zizyphus Lucus,Citrus,Parlatoria zizyphus (Chaff scale - Diaspididae),Neem oil 5ml/L spray,Soap water spray 10g/L,Release Aphytis / Encarsia parasitoid,NSKE 5% spray,"Chlorpyrifos, Imidacloprid, Spirotetramat",Imidacloprid 17.8SL @ 0.5ml/L,Spirotetramat 15OD @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Citrus IPM
peach borer,Peach / Stone fruits,Synanthedon exitiosa (Sesiidae),Neem oil 5ml/L spray,NSKE 5% spray,Pheromone traps 10/ha,Remove and destroy infested bark,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin",Chlorpyrifos 20EC @ 2ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
penthaleus major,Wheat / Clover / Pasture,Penthaleus major (Blue oat mite - Penthaleidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites,"Chlorpyrifos, Fenpropathrin, Lambda-cyhalothrin",Fenpropathrin 30EC @ 1ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
Phyllocnistis citrella Stainton,Citrus,Phyllocnistis citrella (Citrus leaf miner - Gracillariidae),Neem oil 5ml/L spray,NSKE 5% spray,Remove and destroy mined leaves,Release Sympiesis parasitoid,"Abamectin, Emamectin benzoate, Spinosad",Abamectin 1.8EC @ 0.5ml/L,Emamectin benzoate 5SG @ 0.4g/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR Citrus IPM
Phyllocoptes oleiverus ashmead,Citrus,Phyllocoptes oleivorus (Citrus rust mite - Eriophyidae),Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Neem oil 5ml/L spray,Release predatory mites,"Bifenazate, Abamectin, Spiromesifen",Bifenazate 43SC @ 1ml/L,Abamectin 1.8EC @ 0.5ml/L,Spiromesifen 22.9SC @ 0.5ml/L,TNAU/ICAR Citrus IPM
Pieris canidia,Cabbage / Mustard / Crucifers,Pieris canidia (Cabbage white butterfly - Pieridae),BT (Bacillus thuringiensis var. kurstaki) 1kg/ha,Hand picking of egg masses and larvae,Release Apanteles parasitoid,Neem oil 5ml/L spray,"Bacillus thuringiensis, Cypermethrin, Neem oil",Cypermethrin 25EC @ 1ml/L,Carbaryl 50WP @ 2g/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR
Pod borer,Chickpea / Pigeonpea / Tomato / Cotton,Helicoverpa armigera / Maruca vitrata (Noctuidae),HaNPV 250LE/ha spray,Trichogramma release 1.5 lakh/ha,BT 1kg/ha spray,Pheromone traps 10-12/ha,"Emamectin benzoate, Indoxacarb, Spinosad",Indoxacarb 14.5SC @ 1ml/L,Spinosad 45SC @ 0.5ml/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,TNAU/ICAR-NCIPM
Polyphagotars onemus latus,Vegetables / Chilli / Tea,Polyphagotarsonemus latus (Broad mite - Tarsonemidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites,"Acetamiprid, Bifenazate, Spiromesifen",Acetamiprid 20SP @ 0.5g/L,Bifenazate 43SC @ 1ml/L,Spiromesifen 22.9SC @ 0.5ml/L,TNAU/ICAR
Potosiabre vitarsis,Multiple flowering crops,Protaetia brevitarsis (Scarabaeidae - flower chafer),Hand picking of adults from flowers,Neem oil 5ml/L spray,Light traps 2/ha,Deep ploughing,"Chlorantraniliprole, Emamectin benzoate, Spinosad",Chlorantraniliprole 18.5SC @ 0.3ml/L,Emamectin benzoate 5SG @ 0.4g/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR
Powdery Mildew,Cherry (including sour),Podosphaera clandestina,Neem oil 5ml/L spray,Wettable sulfur 80WP @ 3g/L,Baking soda 5g/L + soap,Potassium bicarbonate 5g/L spray,Triadimefon 25WP @ 1g/L (TNAU Fungicide PDF),Hexaconazole 5EC @ 1ml/L,Myclobutanil 10WP @ 1g/L,Dinocap 48EC @ 1ml/L,TNAU Fungicide PDF
Powdery Mildew,Cotton,Leveillula taurica,Neem oil 5ml/L spray,Wettable sulfur 80WP @ 3g/L,Baking soda 5g/L + soap spray,Karanja (Pongamia) oil 5ml/L,Triadimefon 25WP @ 1g/L (TNAU Fungicide PDF),Hexaconazole 5EC @ 1ml/L,Dinocap 48EC @ 1ml/L,Carbendazim 50WP @ 1g/L,TNAU Fungicide PDF
Powdery Mildew,Pumpkin,Podosphaera xanthii,Neem oil 5ml/L spray,Baking soda 5g/L + soap spray,Milk spray 10% (organic),Wettable sulfur 80WP @ 3g/L,Triadimefon 25WP @ 1g/L (TNAU Fungicide PDF),Myclobutanil 10WP @ 1g/L,Hexaconazole 5EC @ 1ml/L,Carbendazim 50WP @ 1g/L (TNAU Cucurbits powdery mildew),TNAU Fungicide PDF
Powdery Mildew,Mango,Oidium mangiferae,Wettable sulfur 80WP @ 3g/L [Saaf/TNAU],Neem oil spray 5ml/L,Pseudomonas fluorescens @ 5ml/L (ICAR-IIHR),Karanja oil spray 5ml/L,Triadimefon 25WP @ 1g/L (TNAU Fungicide PDF),Hexaconazole 5EC @ 1ml/L,Propiconazole 25EC @ 1ml/L,Azoxystrobin 23SC @ 0.025% (TNAU Fungicide PDF: Mango),TNAU Fungicide PDF / ICAR-IIHR
Prodenia litura,Vegetables / Cotton / Tobacco,Spodoptera litura (Noctuidae - tobacco caterpillar),SLNPV 250LE/ha spray,BT 1kg/ha spray,Pheromone traps 10-12/ha,Light traps 2/ha,"Chlorantraniliprole, Emamectin benzoate, Spinosad",Chlorantraniliprole 18.5SC @ 0.3ml/L,Emamectin benzoate 5SG @ 0.4g/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR-NCIPM
Pseudococcus comstocki Kuwana,Apple / Pear / Mulberry,Pseudococcus comstocki (Comstock mealybug - Pseudococcidae),Neem oil 5ml/L spray,Soap water spray 10g/L,Release Allotropa parasitoid,NSKE 5% spray,"Acetamiprid, Bifenthrin, Imidacloprid",Acetamiprid 20SP @ 0.5g/L,Bifenthrin 10EC @ 1ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
red spider,Multiple crops,Tetranychus urticae (Two-spotted spider mite - Tetranychidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release Phytoseiulus persimilis predatory mite,"Abamectin, Bifenazate, Spiromesifen",Bifenazate 43SC @ 1ml/L,Spiromesifen 22.9SC @ 0.5ml/L,Abamectin 1.8EC @ 0.5ml/L,TNAU/ICAR
RedRot,Sugarcane,Colletotrichum falcatum (Glomerella tucumanensis),Hot water sett treatment 50°C for 2-3 hrs (ICAR/Springer),Trichoderma viride @ 5g/L soil drench,Pseudomonas fluorescens TDK1+Pf1 soil+foliar (ICAR),Roguing infected plants; use resistant varieties,Azoxystrobin + Propiconazole combo sett treatment — best (LSU APS Journals 2022),Carbendazim 50WP @ 1g/L sett/foliar,Copper oxychloride 50WP @ 3g/L,Azozole (Azoxystrobin+Difenoconazole SC) foliar spray,TNAU Expert System / APS Journals 2022 / ICAR Biopesticide PDF
